Date : 2025-09-18 21:52:09
Directory : g:\self\fullstack\mockmate
Total : 80 files,  42116 codes, 573 comments, 1315 blanks, all 44004 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          7 |     36,978 |          0 |          5 |     36,983 |
| JavaScript |         68 |      4,953 |        517 |      1,239 |      6,709 |
| CSS        |          3 |        122 |         33 |         35 |        190 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| HTML       |          1 |         25 |         23 |          3 |         51 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                   |         80 |     42,116 |        573 |      1,315 |     44,004 |
| backend                                                                             |         22 |      5,343 |        152 |        383 |      5,878 |
| backend (Files)                                                                     |          4 |      4,178 |         35 |         70 |      4,283 |
| backend\constants                                                                   |          2 |         11 |          1 |          6 |         18 |
| backend\controllers                                                                 |          2 |        808 |        100 |        176 |      1,084 |
| backend\lib                                                                         |          3 |         59 |          0 |         24 |         83 |
| backend\middlewares                                                                 |          2 |         58 |          3 |         26 |         87 |
| backend\models                                                                      |          6 |        163 |          1 |         22 |        186 |
| backend\routes                                                                      |          2 |         32 |         11 |         40 |         83 |
| backend\utils                                                                       |          1 |         34 |          1 |         19 |         54 |
| frontend                                                                            |         58 |     36,773 |        421 |        932 |     38,126 |
| frontend (Files)                                                                    |          3 |     32,931 |          0 |         35 |     32,966 |
| frontend\public                                                                     |          2 |         50 |         23 |          4 |         77 |
| frontend\src                                                                        |         53 |      3,792 |        398 |        893 |      5,083 |
| frontend\src (Files)                                                                |          8 |        227 |         17 |         72 |        316 |
| frontend\src\components                                                             |         16 |      1,443 |        133 |        344 |      1,920 |
| frontend\src\components\auth                                                        |          1 |          9 |         12 |         14 |         35 |
| frontend\src\components\layout                                                      |          4 |        586 |         47 |        119 |        752 |
| frontend\src\components\shared                                                      |          5 |        454 |         55 |        113 |        622 |
| frontend\src\components\specific                                                    |          4 |        355 |         19 |         88 |        462 |
| frontend\src\components\styles                                                      |          2 |         39 |          0 |         10 |         49 |
| frontend\src\constants                                                              |          2 |         11 |          0 |          5 |         16 |
| frontend\src\dialogs                                                                |          5 |        544 |         50 |        142 |        736 |
| frontend\src\events                                                                 |          1 |          6 |          0 |          5 |         11 |
| frontend\src\library                                                                |          4 |        477 |          4 |         44 |        525 |
| frontend\src\pages                                                                  |         10 |        887 |        141 |        228 |      1,256 |
| frontend\src\redux                                                                  |          6 |        172 |         24 |         40 |        236 |
| frontend\src\redux (Files)                                                          |          1 |         14 |          0 |          3 |         17 |
| frontend\src\redux\api                                                              |          1 |         30 |          0 |         11 |         41 |
| frontend\src\redux\reducers                                                         |          4 |        128 |         24 |         26 |        178 |
| frontend\src\utils                                                                  |          1 |         25 |         29 |         13 |         67 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| g:\self\fullstack\mockmate\backend\constants\config.js                              | JavaScript |          8 |          1 |          4 |         13 |
| g:\self\fullstack\mockmate\backend\constants\events.js                              | JavaScript |          3 |          0 |          2 |          5 |
| g:\self\fullstack\mockmate\backend\controllers\postController.js                    | JavaScript |        220 |         10 |         45 |        275 |
| g:\self\fullstack\mockmate\backend\controllers\userControllers.js                   | JavaScript |        588 |         90 |        131 |        809 |
| g:\self\fullstack\mockmate\backend\db.js                                            | JavaScript |         11 |          0 |          3 |         14 |
| g:\self\fullstack\mockmate\backend\index.js                                         | JavaScript |        109 |         35 |         65 |        209 |
| g:\self\fullstack\mockmate\backend\lib\authHelper.js                                | JavaScript |         18 |          0 |          5 |         23 |
| g:\self\fullstack\mockmate\backend\lib\helper.js                                    | JavaScript |          8 |          0 |          7 |         15 |
| g:\self\fullstack\mockmate\backend\lib\validators.js                                | JavaScript |         33 |          0 |         12 |         45 |
| g:\self\fullstack\mockmate\backend\middlewares\auth.js                              | JavaScript |         49 |          2 |         18 |         69 |
| g:\self\fullstack\mockmate\backend\middlewares\multer.js                            | JavaScript |          9 |          1 |          8 |         18 |
| g:\self\fullstack\mockmate\backend\models\chatSchema.js                             | JavaScript |         14 |          0 |          4 |         18 |
| g:\self\fullstack\mockmate\backend\models\messageSchema.js                          | JavaScript |         29 |          0 |          4 |         33 |
| g:\self\fullstack\mockmate\backend\models\notificationSchema.js                     | JavaScript |         27 |          0 |          3 |         30 |
| g:\self\fullstack\mockmate\backend\models\postSchema.js                             | JavaScript |         29 |          0 |          4 |         33 |
| g:\self\fullstack\mockmate\backend\models\requestSchema.js                          | JavaScript |         19 |          0 |          3 |         22 |
| g:\self\fullstack\mockmate\backend\models\userSchema.js                             | JavaScript |         45 |          1 |          4 |         50 |
| g:\self\fullstack\mockmate\backend\package-lock.json                                | JSON       |      4,029 |          0 |          1 |      4,030 |
| g:\self\fullstack\mockmate\backend\package.json                                     | JSON       |         29 |          0 |          1 |         30 |
| g:\self\fullstack\mockmate\backend\routes\postRoute.js                              | JavaScript |         12 |          3 |         12 |         27 |
| g:\self\fullstack\mockmate\backend\routes\userRoute.js                              | JavaScript |         20 |          8 |         28 |         56 |
| g:\self\fullstack\mockmate\backend\utils\features.js                                | JavaScript |         34 |          1 |         19 |         54 |
| g:\self\fullstack\mockmate\frontend\README.md                                       | Markdown   |         38 |          0 |         33 |         71 |
| g:\self\fullstack\mockmate\frontend\package-lock.json                               | JSON       |     32,838 |          0 |          1 |     32,839 |
| g:\self\fullstack\mockmate\frontend\package.json                                    | JSON       |         55 |          0 |          1 |         56 |
| g:\self\fullstack\mockmate\frontend\public\index.html                               | HTML       |         25 |         23 |          3 |         51 |
| g:\self\fullstack\mockmate\frontend\public\manifest.json                            | JSON       |         25 |          0 |          1 |         26 |
| g:\self\fullstack\mockmate\frontend\src\App.css                                     | CSS        |         97 |          4 |         21 |        122 |
| g:\self\fullstack\mockmate\frontend\src\App.js                                      | JavaScript |         80 |          4 |         27 |        111 |
| g:\self\fullstack\mockmate\frontend\src\App.test.js                                 | JavaScript |          7 |          0 |          2 |          9 |
| g:\self\fullstack\mockmate\frontend\src\components\auth\ProtectedRoute.jsx          | JavaScript |          9 |         12 |         14 |         35 |
| g:\self\fullstack\mockmate\frontend\src\components\layout\ChatHeader.jsx            | JavaScript |        186 |         17 |         41 |        244 |
| g:\self\fullstack\mockmate\frontend\src\components\layout\ChatLayout.jsx            | JavaScript |        135 |          2 |         24 |        161 |
| g:\self\fullstack\mockmate\frontend\src\components\layout\Header.jsx                | JavaScript |        256 |         28 |         51 |        335 |
| g:\self\fullstack\mockmate\frontend\src\components\layout\HomeLayout.jsx            | JavaScript |          9 |          0 |          3 |         12 |
| g:\self\fullstack\mockmate\frontend\src\components\shared\ChatItem.jsx              | JavaScript |        104 |          4 |         23 |        131 |
| g:\self\fullstack\mockmate\frontend\src\components\shared\MessageComponent.jsx      | JavaScript |         64 |          2 |         15 |         81 |
| g:\self\fullstack\mockmate\frontend\src\components\shared\NotificationItem.jsx      | JavaScript |        145 |         10 |         34 |        189 |
| g:\self\fullstack\mockmate\frontend\src\components\shared\PostItem.jsx              | JavaScript |        105 |         38 |         35 |        178 |
| g:\self\fullstack\mockmate\frontend\src\components\shared\RenderAttachment.jsx      | JavaScript |         36 |          1 |          6 |         43 |
| g:\self\fullstack\mockmate\frontend\src\components\specific\ChatList.jsx            | JavaScript |         54 |          6 |         13 |         73 |
| g:\self\fullstack\mockmate\frontend\src\components\specific\CreatePost.jsx          | JavaScript |        161 |          5 |         36 |        202 |
| g:\self\fullstack\mockmate\frontend\src\components\specific\NotificationList.jsx    | JavaScript |         63 |          2 |         16 |         81 |
| g:\self\fullstack\mockmate\frontend\src\components\specific\PostList.jsx            | JavaScript |         77 |          6 |         23 |        106 |
| g:\self\fullstack\mockmate\frontend\src\components\styles\SelectFriendAnimation.jsx | JavaScript |         27 |          0 |          5 |         32 |
| g:\self\fullstack\mockmate\frontend\src\components\styles\StyledComponents.jsx      | JavaScript |         12 |          0 |          5 |         17 |
| g:\self\fullstack\mockmate\frontend\src\constants\colors.js                         | JavaScript |         10 |          0 |          3 |         13 |
| g:\self\fullstack\mockmate\frontend\src\constants\config.js                         | JavaScript |          1 |          0 |          2 |          3 |
| g:\self\fullstack\mockmate\frontend\src\dialogs\CreatePostDialog.jsx                | JavaScript |         25 |          0 |          7 |         32 |
| g:\self\fullstack\mockmate\frontend\src\dialogs\FileMenuDialog.jsx                  | JavaScript |        119 |          2 |         25 |        146 |
| g:\self\fullstack\mockmate\frontend\src\dialogs\MeetConfirmDialog.jsx               | JavaScript |         92 |          2 |         25 |        119 |
| g:\self\fullstack\mockmate\frontend\src\dialogs\MeetRequestDialog.jsx               | JavaScript |         70 |          8 |         24 |        102 |
| g:\self\fullstack\mockmate\frontend\src\dialogs\PostItemDialogBox.jsx               | JavaScript |        238 |         38 |         61 |        337 |
| g:\self\fullstack\mockmate\frontend\src\events\events.js                            | JavaScript |          6 |          0 |          5 |         11 |
| g:\self\fullstack\mockmate\frontend\src\index.css                                   | CSS        |          0 |          0 |          1 |          1 |
| g:\self\fullstack\mockmate\frontend\src\index.js                                    | JavaScript |         14 |          5 |          7 |         26 |
| g:\self\fullstack\mockmate\frontend\src\library\ChatHomeAnimation_1.json            | JSON       |          1 |          0 |          0 |          1 |
| g:\self\fullstack\mockmate\frontend\src\library\ChatHomeAnimation_2.json            | JSON       |          1 |          0 |          0 |          1 |
| g:\self\fullstack\mockmate\frontend\src\library\functions.js                        | JavaScript |        103 |          3 |         34 |        140 |
| g:\self\fullstack\mockmate\frontend\src\library\sampleData.js                       | JavaScript |        372 |          1 |         10 |        383 |
| g:\self\fullstack\mockmate\frontend\src\pages\ChatHome.jsx                          | JavaScript |         22 |          5 |          8 |         35 |
| g:\self\fullstack\mockmate\frontend\src\pages\ChatWindow.jsx                        | JavaScript |        218 |         77 |         97 |        392 |
| g:\self\fullstack\mockmate\frontend\src\pages\Home.jsx                              | JavaScript |         97 |         20 |         26 |        143 |
| g:\self\fullstack\mockmate\frontend\src\pages\Login.jsx                             | JavaScript |        257 |         30 |         36 |        323 |
| g:\self\fullstack\mockmate\frontend\src\pages\Meet.jsx                              | JavaScript |          7 |          0 |          4 |         11 |
| g:\self\fullstack\mockmate\frontend\src\pages\MeetRoom.jsx                          | JavaScript |         10 |          0 |          6 |         16 |
| g:\self\fullstack\mockmate\frontend\src\pages\MeetZEGO.jsx                          | JavaScript |         46 |          0 |         12 |         58 |
| g:\self\fullstack\mockmate\frontend\src\pages\PageNotFound.jsx                      | JavaScript |          9 |          0 |          5 |         14 |
| g:\self\fullstack\mockmate\frontend\src\pages\Profile.jsx                           | JavaScript |        199 |          9 |         29 |        237 |
| g:\self\fullstack\mockmate\frontend\src\pages\TempDrawer.jsx                        | JavaScript |         22 |          0 |          5 |         27 |
| g:\self\fullstack\mockmate\frontend\src\redux\api\api.js                            | JavaScript |         30 |          0 |         11 |         41 |
| g:\self\fullstack\mockmate\frontend\src\redux\reducers\auth.js                      | JavaScript |         22 |          0 |          6 |         28 |
| g:\self\fullstack\mockmate\frontend\src\redux\reducers\chat.js                      | JavaScript |         25 |          2 |          4 |         31 |
| g:\self\fullstack\mockmate\frontend\src\redux\reducers\meet.js                      | JavaScript |         39 |          0 |          6 |         45 |
| g:\self\fullstack\mockmate\frontend\src\redux\reducers\misc.js                      | JavaScript |         42 |         22 |         10 |         74 |
| g:\self\fullstack\mockmate\frontend\src\redux\store.js                              | JavaScript |         14 |          0 |          3 |         17 |
| g:\self\fullstack\mockmate\frontend\src\reportWebVitals.js                          | JavaScript |         12 |          0 |          2 |         14 |
| g:\self\fullstack\mockmate\frontend\src\setupTests.js                               | JavaScript |          1 |          4 |          1 |          6 |
| g:\self\fullstack\mockmate\frontend\src\socket.js                                   | JavaScript |         16 |          0 |         11 |         27 |
| g:\self\fullstack\mockmate\frontend\src\utils\style.css                             | CSS        |         25 |         29 |         13 |         67 |
| Total                                                                               |            |     42,116 |        573 |      1,315 |     44,004 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
