"filename", "language", "JavaScript", "Markdown", "CSS", "JSON", "HTML", "Properties", "comment", "blank", "total"
"g:\self\fullstack\mockmate-optimize\backend\.env", "Properties", 0, 0, 0, 0, 0, 10, 0, 6, 16
"g:\self\fullstack\mockmate-optimize\backend\app.js", "JavaScript", 112, 0, 0, 0, 0, 0, 39, 67, 218
"g:\self\fullstack\mockmate-optimize\backend\app_https.js", "JavaScript", 126, 0, 0, 0, 0, 0, 12, 29, 167
"g:\self\fullstack\mockmate-optimize\backend\constants\config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 4, 15
"g:\self\fullstack\mockmate-optimize\backend\constants\constants.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 1, 2
"g:\self\fullstack\mockmate-optimize\backend\constants\events.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 2, 5
"g:\self\fullstack\mockmate-optimize\backend\controllers\old.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 6, 47
"g:\self\fullstack\mockmate-optimize\backend\controllers\postController.js", "JavaScript", 253, 0, 0, 0, 0, 0, 15, 51, 319
"g:\self\fullstack\mockmate-optimize\backend\controllers\userControllers.js", "JavaScript", 613, 0, 0, 0, 0, 0, 94, 133, 840
"g:\self\fullstack\mockmate-optimize\backend\db.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 3, 14
"g:\self\fullstack\mockmate-optimize\backend\lib\authHelper.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 5, 23
"g:\self\fullstack\mockmate-optimize\backend\lib\helper.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 7, 15
"g:\self\fullstack\mockmate-optimize\backend\lib\validators.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 12, 45
"g:\self\fullstack\mockmate-optimize\backend\middlewares\auth.js", "JavaScript", 57, 0, 0, 0, 0, 0, 2, 20, 79
"g:\self\fullstack\mockmate-optimize\backend\middlewares\multer.js", "JavaScript", 9, 0, 0, 0, 0, 0, 1, 8, 18
"g:\self\fullstack\mockmate-optimize\backend\models\chatSchema.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 4, 18
"g:\self\fullstack\mockmate-optimize\backend\models\messageSchema.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 4, 33
"g:\self\fullstack\mockmate-optimize\backend\models\metaSchema.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 4, 11
"g:\self\fullstack\mockmate-optimize\backend\models\notificationSchema.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 3, 30
"g:\self\fullstack\mockmate-optimize\backend\models\postSchema.js", "JavaScript", 46, 0, 0, 0, 0, 0, 3, 8, 57
"g:\self\fullstack\mockmate-optimize\backend\models\requestSchema.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 3, 22
"g:\self\fullstack\mockmate-optimize\backend\models\userSchema.js", "JavaScript", 59, 0, 0, 0, 0, 0, 3, 5, 67
"g:\self\fullstack\mockmate-optimize\backend\package-lock.json", "JSON", 0, 0, 0, 17471, 0, 0, 0, 1, 17472
"g:\self\fullstack\mockmate-optimize\backend\package.json", "JSON", 0, 0, 0, 33, 0, 0, 0, 1, 34
"g:\self\fullstack\mockmate-optimize\backend\redisClient.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 5, 22
"g:\self\fullstack\mockmate-optimize\backend\routes\postRoute.js", "JavaScript", 12, 0, 0, 0, 0, 0, 3, 12, 27
"g:\self\fullstack\mockmate-optimize\backend\routes\userRoute.js", "JavaScript", 20, 0, 0, 0, 0, 0, 8, 28, 56
"g:\self\fullstack\mockmate-optimize\backend\utils\features.js", "JavaScript", 34, 0, 0, 0, 0, 0, 1, 19, 54
"g:\self\fullstack\mockmate-optimize\frontend\.env", "Properties", 0, 0, 0, 0, 0, 2, 0, 2, 4
"g:\self\fullstack\mockmate-optimize\frontend\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 33, 71
"g:\self\fullstack\mockmate-optimize\frontend\package-lock.json", "JSON", 0, 0, 0, 32838, 0, 0, 0, 1, 32839
"g:\self\fullstack\mockmate-optimize\frontend\package.json", "JSON", 0, 0, 0, 55, 0, 0, 0, 1, 56
"g:\self\fullstack\mockmate-optimize\frontend\public\index.html", "HTML", 0, 0, 0, 0, 25, 0, 23, 3, 51
"g:\self\fullstack\mockmate-optimize\frontend\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"g:\self\fullstack\mockmate-optimize\frontend\src\APP_Original.js", "JavaScript", 100, 0, 0, 0, 0, 0, 6, 32, 138
"g:\self\fullstack\mockmate-optimize\frontend\src\App.css", "CSS", 0, 0, 97, 0, 0, 0, 4, 21, 122
"g:\self\fullstack\mockmate-optimize\frontend\src\App.js", "JavaScript", 100, 0, 0, 0, 0, 0, 6, 35, 141
"g:\self\fullstack\mockmate-optimize\frontend\src\App.test.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 2, 9
"g:\self\fullstack\mockmate-optimize\frontend\src\components\auth\ProtectedRoute.jsx", "JavaScript", 9, 0, 0, 0, 0, 0, 12, 14, 35
"g:\self\fullstack\mockmate-optimize\frontend\src\components\layout\ChatHeader.jsx", "JavaScript", 187, 0, 0, 0, 0, 0, 17, 41, 245
"g:\self\fullstack\mockmate-optimize\frontend\src\components\layout\ChatLayout.jsx", "JavaScript", 152, 0, 0, 0, 0, 0, 3, 26, 181
"g:\self\fullstack\mockmate-optimize\frontend\src\components\layout\Header.jsx", "JavaScript", 259, 0, 0, 0, 0, 0, 33, 51, 343
"g:\self\fullstack\mockmate-optimize\frontend\src\components\layout\HomeLayout.jsx", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"g:\self\fullstack\mockmate-optimize\frontend\src\components\shared\ChatItem.jsx", "JavaScript", 119, 0, 0, 0, 0, 0, 31, 31, 181
"g:\self\fullstack\mockmate-optimize\frontend\src\components\shared\MessageComponent.jsx", "JavaScript", 65, 0, 0, 0, 0, 0, 2, 15, 82
"g:\self\fullstack\mockmate-optimize\frontend\src\components\shared\NotificationItem.jsx", "JavaScript", 145, 0, 0, 0, 0, 0, 10, 34, 189
"g:\self\fullstack\mockmate-optimize\frontend\src\components\shared\PostItem.jsx", "JavaScript", 133, 0, 0, 0, 0, 0, 45, 47, 225
"g:\self\fullstack\mockmate-optimize\frontend\src\components\shared\RenderAttachment.jsx", "JavaScript", 36, 0, 0, 0, 0, 0, 1, 6, 43
"g:\self\fullstack\mockmate-optimize\frontend\src\components\specific\ChatList.jsx", "JavaScript", 78, 0, 0, 0, 0, 0, 17, 24, 119
"g:\self\fullstack\mockmate-optimize\frontend\src\components\specific\CreatePost.jsx", "JavaScript", 162, 0, 0, 0, 0, 0, 5, 36, 203
"g:\self\fullstack\mockmate-optimize\frontend\src\components\specific\NotificationList.jsx", "JavaScript", 64, 0, 0, 0, 0, 0, 1, 16, 81
"g:\self\fullstack\mockmate-optimize\frontend\src\components\specific\PostList.jsx", "JavaScript", 105, 0, 0, 0, 0, 0, 14, 29, 148
